"Name","Team","Pos","AB","R","HR","RBI","SB","AVG","FlanaprogTiering","BOSTeam","BOSPos","ALPos"
"Josh Hamilton","LAA","OF",538,76,23,88,5,0.261,12,"**","","OF2"
"Josh Reddick","Oak","OF",477,69,20,66,9,0.246,9,"**","","OF3"
"Josh Willingham","Min","OF",492,67,24,79,2,0.234,9,"**","","OF5"
"JP Arencibia","Tex","C",280,31,13,40,1,0.226,1,"**","","C2"
"Jurickson Profar 60","Tex","2B",339,46,9,38,9,0.262,4,"**","","2B"
"Justin Maxwell ","KC","OF",223,32,9,29,6,0.229,2,"**","","OF3"
"Justin Smoak","Sea","1B",493,60,22,67,1,0.244,6,"**","","CI"
"Kelly Johnson","NYY","2B,OF",395,51,17,52,10,0.238,6,"**","","RES1"
"Kole Calhoun","LAA","OF",467,65,15,61,11,0.267,9,"**","","OF3"
"Kurt Suzuki","Min","C",294,31,6,33,2,0.249,1,"**","","C2"
"Kyle Seager","Sea","3B",582,75,22,76,10,0.267,13,"**","","3B"
"Leonys Martin","Tex","OF",474,68,9,55,31,0.266,11,"**","","OF2"
"LJ Hoes","Hou","OF",329,40,3,29,9,0.25,3,"**","","OF5"
"Logan Forsythe","TB","2B",212,28,5,22,6,0.253,2,"**","","MI"
"Logan Morrison","Sea","1B",430,51,15,56,1,0.252,4,"**","","DH"
"Lonnie Chisenhall","Cle","3B",347,43,13,47,2,0.261,2,"**","","3B"
"Lorenzo Cain","KC","OF",366,45,6,41,12,0.25,3,"**","","OF4"
"Maicer Izturis","Tor","2B,SS,3B",267,30,4,25,6,0.257,2,"**","","2B"
"Manny Machado 15","Bal","3B",519,69,15,63,8,0.275,10,"**","","3B"
"Mark Texeira","NYY","1B",494,73,28,83,3,0.246,11,"**","","1B"
"Matt Davidson","CWS","3B",250,29,10,33,1,0.243,1,"**","","DH"
"Matt Dominguez","Hou","3B",498,55,17,69,0,0.253,6,"**","","3B"
"Matt Wieters","Bal","C",503,62,22,73,2,0.256,9,"**","","C1"
"Matthew Joyce","TB","OF",395,59,16,54,6,0.253,5,"**","","OF3"
"Melky Cabrera","Tor","OF",521,74,10,59,9,0.286,10,"**","","OF4"
"Michael Bourne","Cle","OF",531,75,6,46,29,0.26,9,"**","","OF2"
"Michael Brantley","Cle","OF",523,66,8,65,14,0.277,10,"**","","OF3"
"Michael Choice","Tex","OF",141,18,4,18,1,0.256,1,"**","","OF3"
"Michael Saunders","Sea","OF",388,58,13,46,14,0.239,5,"**","","OF2"
"Miguel Cabrera","Det","3B",573,101,41,121,3,0.325,24,"**","","CI"
"Mike Aviles","Cle","SS,3B",248,31,6,30,7,0.252,2,"**","","MI"
"Mike Carp","Bos","1B,OF",224,29,9,38,2,0.27,3,"**","","1B"
"Mike Moustakas","KC","3B",477,50,17,60,4,0.253,6,"**","","3B"
"Mike Napoli","Bos","1B",468,73,26,82,2,0.253,11,"**","","CI"
"Mike Trout","LAA","OF",581,115,27,88,37,0.303,25,"Bison","OF1","OF4"
"Mike Zunino","Sea","C",371,52,13,48,2,0.233,2,"**","","C2"
"Mitch Moreland","Tex","1B",475,60,22,65,1,0.257,7,"**","","1B"
"Nelson Cruz","Bal","OF",481,62,26,77,7,0.261,11,"**","","OF3"
